Date, Open, High, Low, Close
11/27/17, 1.136, 1.169, 1.131, 1.141
11/24/17, 1.152, 1.157, 1.131, 1.134
11/22/17, 1.129, 1.162, 1.121, 1.144
11/21/17, 1.063, 1.126, 1.048, 1.126
11/20/17, 1.063, 1.065, 1.042, 1.063
11/17/17, 1.070, 1.078, 1.055, 1.058
11/16/17, 1.073, 1.088, 1.063, 1.063
11/15/17, 1.053, 1.078, 1.043, 1.065
11/14/17, 1.053, 1.068, 1.042, 1.050
11/13/17, 1.048, 1.058, 1.040, 1.048
11/10/17, 1.045, 1.045, 1.045, 1.045
11/09/17, 1.050, 1.068, 1.043, 1.060
11/08/17, 1.038, 1.060, 1.030, 1.048
11/07/17, 1.027, 1.040, 1.012, 1.040
11/06/17, 1.010, 1.027, 1.004, 1.020
11/03/17, 1.010, 1.035, 0.999, 1.015
11/02/17, 1.040, 1.048, 0.982, 1.017
11/01/17, 1.010, 1.060, 1.004, 1.050
10/31/17, 0.956, 1.012, 0.949, 1.012
10/30/17, 0.979, 0.989, 0.944, 0.959
10/27/17, 0.984, 0.994, 0.961, 0.974
10/26/17, 0.999, 1.010, 0.977, 0.984
10/25/17, 1.000, 1.027, 0.997, 1.000
10/24/17, 0.997, 1.007, 0.984, 1.005
10/23/17, 0.992, 1.004, 0.949, 0.994
10/20/17, 0.984, 1.012, 0.982, 0.997
10/19/17, 0.982, 0.994, 0.961, 0.984
10/18/17, 0.974, 1.002, 0.614, 0.979
10/17/17, 0.956, 0.982, 0.933, 0.977
10/16/17, 0.954, 0.989, 0.949, 0.954
10/13/17, 0.964, 0.987, 0.941, 0.964
10/12/17, 1.020, 1.027, 0.966, 0.972
10/11/17, 1.035, 1.043, 1.017, 1.030
10/10/17, 1.017, 1.040, 1.007, 1.032
10/06/17, 1.012, 1.020, 0.989, 1.017
10/05/17, 0.994, 1.010, 0.989, 1.007
10/04/17, 0.982, 1.002, 0.979, 0.989
10/03/17, 0.936, 0.984, 0.928, 0.984
10/02/17, 0.951, 0.971, 0.928, 0.938
09/29/17, 0.961, 0.969, 0.946, 0.954
09/28/17, 0.987, 0.987, 0.951, 0.956
09/27/17, 0.979, 1.002, 0.972, 0.987
09/26/17, 0.949, 0.977, 0.944, 0.977
